word,tf,df,tfidf
neuron,21553,1302,40581.02547970055
social,24135,2049,34498.515714243906
breast,16820,1358,30961.190155276134
peptide,16565,1537,28440.73336630824
sleep,10599,613,27940.447907503058
virus,14719,1310,27623.47883403624
diabetes,16731,1699,27049.171977441383
lung,18824,2039,26999.078157135915
cognitive,15819,1664,25904.013021844738
alcohol,13861,1333,25772.001534137577
depression,13452,1292,25431.78966072773
pain,11879,1102,24347.47103142701
liver,14500,1599,24321.88279996946
adolescent,12442,1218,24256.17036130806
heart,17200,2136,23870.413533813073
injury,14715,1711,23686.31857292805
infant,10053,813,23662.48832173857
bone,13187,1478,23157.161095704952
cortex,10818,1017,23041.177544989194
parent,12626,1401,22847.54741366731
memory,12023,1353,22175.525529148887
mutant,12676,1496,22106.370815156923
variant,13383,1669,21874.84829924849
muscle,12359,1497,21545.278545584555
smoking,9530,905,21409.812068723764
immune,14097,1925,21030.23861003491
kinase,13276,1761,20987.601336594464
stem,13409,1800,20904.134820521707
macrophage,9277,926,20628.622057445686
sexual,8088,677,20517.910702786747
task,12829,1736,20464.385193842056
surgery,13202,1844,20262.59510425261
mitochondrial,8276,755,20092.366794114896
residue,10502,1277,19977.283358216682
lipid,10539,1311,19770.736713680246
mrna,11316,1505,19666.71873276815
cardiac,9920,1217,19347.579606510833
compound,12010,1715,19304.112335624355
anxiety,8570,901,19291.067281679276
item,9825,1213,19194.641034232096
maternal,7899,761,19114.56563061276
simulation,8519,933,18878.953681402883
mental,10933,1523,18871.096934387788
mortality,13360,2135,18547.461077131207
channel,9888,1325,18444.454253353575
student,11882,1826,18353.19716940464
prostate,7174,669,18284.523595199214
stroke,8647,1050,18141.055772863303
insulin,7565,805,17881.108045591154
differentiation,11208,1738,17865.71602451518
energy,11389,1793,17799.406467532368
obesity,8151,969,17754.83691782593
plasma,11294,1777,17752.170229902877
transcription,11455,1835,17637.322836091094
motor,8401,1060,17545.326808573624
vaccine,6224,511,17540.074419734116
viral,8719,1146,17529.305744167043
syndrome,12472,2105,17491.15927132922
nanoparticle,5493,355,17480.852620127916
neural,9615,1421,17262.663430465975
food,10654,1701,17211.892289828444
lesion,9697,1457,17167.279191558977
delivery,10846,1764,17127.6312239714
phosphorylation,8537,1159,17067.102932757476
glucose,8522,1157,17051.83353509815
strain,9432,1418,16954.041064730663
particle,7717,964,16849.403104696547
genome,10534,1732,16827.779015548633
mother,7072,819,16593.888297627575
endothelial,7864,1047,16520.85421716168
education,11567,2065,16443.872004910136
ligand,9121,1421,16375.741357179424
carcinoma,8112,1142,16337.31287923943
host,9009,1397,16328.115033680288
cytokine,8424,1245,16238.221443918137
schizophrenia,5399,441,16010.518890779558
methylation,5677,513,15976.37857371884
youth,6060,616,15945.423339920284
pregnancy,6475,740,15849.85953357346
inflammation,9394,1593,15792.541142992211
vector,9734,1696,15754.256325660455
behavioral,10785,2006,15644.796191900237
injection,9421,1631,15615.838258385924
pressure,10300,1884,15587.530598401987
renal,7418,1060,15492.350228067984
tobacco,5521,525,15409.699968279727
histone,5693,575,15371.867983540671
matrix,10381,1948,15363.324161973878
enzyme,10875,2085,15355.291267263538
psychiatry,8606,1437,15354.756819641692
node,6892,928,15310.39334699874
vascular,8845,1521,15278.69067796425
resistance,10795,2081,15263.062525893618
older,10956,2131,15230.57442594776
substrate,9675,1776,15212.834713177963
training,9597,1759,15182.494265945727
intake,6216,745,15174.006408191288
repair,7360,1095,15132.125394512459
mirna,4084,211,15121.609559551081
medication,8643,1489,15113.537937545358
nucleus,8896,1569,15090.384325645959
buffer,10262,1969,15077.175269575373
language,7322,1100,15020.639884506525
cluster,9720,1827,15008.403012869268
spectrum,10561,2085,14911.929294121399
apoptosis,8094,1358,14898.922301831451
word,7347,1127,14893.768062601212
transplant,6119,752,14879.992164169009
alzheimer,5618,608,14855.846268382706
stimulation,8727,1571,14792.590535971558
cortical,6640,937,14686.495810312761
birth,7322,1155,14663.398302457943
diet,6669,960,14588.91537357172
species,9729,1926,14508.900002275583
genotype,6833,1027,14486.696122434729
grade,8307,1498,14475.934175063774
radiation,6722,994,14470.904706344674
immunol,7380,1206,14460.67135590622
psychology,7077,1114,14428.534663550452
neurosci,7508,1253,14424.437063299074
kidney,7335,1201,14402.970193009753
inflammatory,8477,1565,14401.268750011102
stimulus,7458,1245,14376.146192870545
sirna,4678,400,14328.90295990452
gender,9179,1811,14253.798159185473
screening,9790,2011,14177.070820818493
cardiovascular,8101,1493,14144.03931946168
learning,7083,1162,14141.967402292901
abuse,6308,913,14115.847229364028
nuclear,9117,1828,14072.337376678897
peak,9102,1828,14049.184468852838
bacterial,6638,1032,14041.036100671516
allele,6371,948,14017.158441536681
transplantation,5755,757,13956.690408573388
partner,7119,1208,13937.461177331934
hypertension,6568,1029,13912.089359707747
algorithm,8703,1733,13897.78284806341
promoter,6869,1138,13858.051750451586
sequencing,7438,1335,13818.453032963598
autism,3996,270,13810.507593753042
fluorescence,7601,1395,13787.11372608184
metabolic,8495,1706,13699.021814052827
melanoma,4643,449,13685.159170573743
chemotherapy,6141,924,13668.594007155692
antigen,6860,1170,13649.656960616096
proliferation,8431,1707,13590.875006784692
plate,8216,1639,13578.282179515434
ovarian,4880,531,13565.145445579448
biomarker,7629,1447,13558.69528397775
provider,6301,999,13532.973769309627
donor,6096,934,13502.813749345438
interview,6694,1152,13423.144163791889
substance,6492,1090,13377.233198045065
user,6866,1223,13357.410297282238
reward,4428,422,13326.064345619687
asthma,4241,370,13320.989205401067
exercise,6027,940,13311.38326768319
neuronal,6584,1135,13300.4503971488
visual,7126,1327,13281.644784767748
developmental,8344,1748,13252.586493786279
epithelial,6517,1123,13234.37158867403
locus,6557,1140,13217.08521343652
staining,7420,1455,13146.338705228469
aortic,4081,343,13127.65670696188
migration,6337,1090,13057.844543439862
chemical,9295,2102,13048.882315579865
pulmonary,6047,992,13029.965744956353
incubate,8260,1784,12950.784841317107
cost,8929,2014,12916.931296689017
bacterium,5346,768,12887.683498067467
respiratory,6066,1026,12866.482894493403
intestinal,4889,619,12840.467975548881
airway,4061,363,12833.174653088163
epilepsy,3699,268,12811.552933696727
uptake,6214,1092,12793.002804479453
force,8213,1815,12735.605023015
retinal,3893,326,12720.796227386894
artery,5582,881,12690.382909437827
people,8956,2078,12675.818793004548
depressive,4885,639,12674.623374307941
neutrophil,4445,496,12659.04446586595
fiber,5338,803,12630.509908903763
dataset,6435,1202,12630.378780952873
coronary,5107,723,12619.885833150196
dopamine,4244,439,12604.703458043197
probability,7579,1624,12595.217383879255
cholesterol,4633,577,12493.638168224823
infect,6208,1149,12464.780369230208
calcium,5667,950,12456.309430651596
layer,6810,1378,12435.85328903071
surgical,6716,1344,12431.983700253591
dietary,4915,689,12382.180935122607
visit,6589,1309,12370.756403834233
embryo,4397,518,12331.51708280324
device,6106,1141,12302.641069934809
childhood,6143,1155,12302.274757170055
session,5472,907,12281.15154693757
metabolite,4966,723,12271.461336875636
distance,7472,1658,12262.58018248887
synaptic,4555,581,12251.830306143784
medium,8010,1855,12246.20837266592
damage,8104,1908,12161.624892473206
adhd,3151,185,12081.403862435489
suicide,3473,264,12081.024422844748
home,6451,1319,12062.568706457474
transition,8135,1943,12060.271654615399
collagen,4204,488,12041.052803310871
pediatric,5910,1118,12028.080974414792
marrow,4877,727,12024.62616348788
genomic,7638,1795,11928.60555646797
chromatin,4417,583,11865.465519716423
wild_type,5998,1191,11827.794313634404
leukemia,4779,722,11815.980971489069
pmid,2553,84,11804.275825440312
respondent,4267,542,11773.67255262087
metabolism,7483,1775,11770.379151759395
dynamics,7427,1755,11766.453535155844
skin,6151,1268,11744.158462143854
incidence,8244,2059,11743.819000069348
plant,4250,543,11718.931387057508
valve,3344,260,11683.34514664205
diagnostic,8151,2055,11627.188053738404
scan,6646,1491,11612.57325009194
toxicity,5989,1235,11592.779682530949
drinking,3915,443,11592.06119200998
probe,7903,1980,11567.248210613032
head,6658,1514,11531.61942374876
amino,6835,1586,11520.628568755994
immigrant,3024,193,11466.447808575824
household,4401,633,11460.355914923339
country,5660,1130,11458.851282508043
emotion,3985,483,11454.835822760446
progenitor,4532,688,11423.88537646071
load,7743,1958,11419.5786264676
spatial,6238,1375,11404.910013319835
chain,7328,1806,11399.694792800557
speech,3541,344,11380.289885261129
replication,5436,1055,11378.683550544878
temporal,6586,1523,11367.881131425773
psychological,5897,1253,11329.369387623154
aging,5637,1152,11303.594808977425
induction,7623,1943,11301.223211202605
drosophila,3724,413,11287.65756192995
hiv_1,3558,360,11273.170434107786
policy,6317,1441,11253.181779691871
teacher,3176,252,11195.640908831463
oxidative,5181,989,11179.61676416867
genet,6572,1565,11164.933139680661
environmental,7279,1853,11136.460295171888
barrier,6871,1695,11124.608811466678
subunit,5401,1093,11114.304465556428
curve,7762,2044,11113.949757351196
african,5381,1085,11112.678018180446
oral,6315,1475,11102.34890643271
iron,3635,408,11062.169279460502
charge,5595,1193,11023.708310001177
