word,tf,df,tfidf
children,23514,1615,34051.09904136446
neurons,13467,899,27390.90068893501
breast,15033,1122,27244.942962181936
social,17771,1608,25811.737991464368
alcohol,13693,1062,25568.956178679204
infection,15262,1547,22757.742250995227
diabetes,13677,1356,22196.622065854615
child,12186,1133,21966.315465323332
sleep,7928,431,21953.443617586403
cognitive,12601,1286,21118.249760277104
tumors,11011,1125,19926.30003292056
mutations,12767,1486,19550.965532479
virus,10332,1038,19529.126920162074
lung,13046,1556,19377.703356945392
liver,11505,1312,19051.15819531146
immune,12823,1611,18601.044832086303
stem,11061,1325,18206.878583921323
depression,9346,989,18117.37177005873
bone,10363,1201,18076.18754873611
pain,8689,871,17947.724581905895
injury,10989,1357,17826.12287527932
peptide,9892,1162,17581.17550968711
smoking,7903,769,17308.51436233421
cortex,7865,793,16983.580658559997
memory,8854,1031,16795.3826237957
maternal,6755,574,16769.835109912266
rats,8225,913,16601.953445743533
muscle,9265,1156,16514.764424710334
prostate,6612,573,16426.355226829113
symptoms,11555,1671,16339.1505647188
infected,7643,815,16295.046824284735
surgery,10562,1541,15790.439562569069
anxiety,6970,718,15743.424035472593
insulin,7248,789,15687.891147146438
image,10995,1651,15679.683847084876
kinase,10105,1467,15604.501602190814
mitochondrial,6435,611,15573.430401409212
antibody,10795,1633,15512.807621637696
cardiac,7963,985,15468.675533503814
endothelial,7594,902,15420.345595709545
phosphorylation,7622,948,15098.084137859927
learning,8227,1106,15028.30435157356
inflammatory,9529,1430,14958.440675368207
genome,10035,1548,14957.081294477193
sexual,5842,532,14947.148263991736
differentiation,9478,1447,14766.370821595054
mrna,8523,1217,14753.878677276356
mortality,10507,1689,14744.667971819052
stroke,6961,845,14589.37777453245
mental,8248,1186,14490.654556109756
lipid,7330,953,14481.115454872488
macrophages,6276,684,14480.316978956711
schizophrenia,4894,360,14432.926879255001
receptors,9662,1543,14432.38651838959
scores,9913,1626,14287.925836463952
cortical,6466,761,14228.931566118354
obesity,6459,763,14196.574760740057
glucose,7490,1039,14150.08157951083
transcription,9360,1523,14103.39631679718
viral,6959,923,13970.757773733061
task,7694,1134,13862.310417321974
plasma,8742,1411,13839.954226254187
methylation,4958,434,13694.818678776757
disorder,8215,1327,13509.850336961425
training,8558,1450,13315.320554558975
older,9436,1680,13292.1288879934
animals,8994,1570,13278.557810503708
neural,7381,1145,13227.125092394721
energy,8610,1480,13219.906764360061
antibodies,8736,1521,13174.64952939232
inflammation,7853,1288,13148.784866119371
residues,6229,839,13099.585487579398
grade,7280,1139,13084.376761579098
mutation,7976,1333,13080.824592439412
mutant,7173,1126,12974.40515706004
motor,6172,841,12965.019256381736
renal,6247,870,12910.782673340591
immunol,6679,1007,12826.883054345188
variants,6491,976,12668.795471236233
resistance,8987,1689,12611.623780597489
delivery,7995,1420,12606.502512984935
behavioral,8492,1559,12597.122769396825
drinking,4362,387,12548.539531506856
vascular,7516,1295,12543.786783310887
syndrome,8234,1503,12515.614736584135
screening,8864,1679,12491.652333583184
vaccine,4164,343,12481.506788698303
apoptosis,6836,1125,12370.918810738802
peptides,5690,794,12279.742643752477
youth,4482,445,12267.844365473367
host,6806,1152,12155.213966110581
fluorescence,6862,1177,12107.905377642976
radiation,5784,851,12081.609570164708
pressure,7804,1463,12072.523152873518
nanoparticles,3665,256,12057.971015311297
release,8622,1698,12053.59132254751
staining,6972,1224,12029.007736126168
repair,5947,911,12016.910017405378
asthma,3779,286,12014.267289098378
suicide,3313,185,11976.013417634646
proliferation,7414,1377,11918.360612031327
visual,6359,1056,11910.197149171148
chemotherapy,5478,785,11884.66751393986
snps,3649,265,11879.248846886545
education,8267,1638,11854.70604020865
carcinoma,5743,878,11816.5893055764
wild,7307,1367,11799.611233051615
parents,4955,636,11792.958966105267
psychology,5584,839,11743.150644187408
neuronal,5867,929,11740.463819696433
students,4582,533,11714.749178980966
psychiatry,6379,1103,11669.879393895146
sequencing,6373,1110,11618.585514316695
birth,5581,863,11579.435206772683
retinal,3672,294,11572.787916906904
exercise,4799,624,11513.08939731909
substance,4913,663,11488.733481198537
infants,4337,486,11488.720979054722
food,6752,1258,11464.43704227782
hypertension,5440,841,11427.36629207982
pregnancy,4525,552,11410.522438676158
neurosci,5969,1019,11392.632946304517
kidney,5651,923,11344.841525990161
buffer,7200,1422,11342.814143766516
species,7875,1636,11302.207453698516
matrix,7590,1557,11268.829674990406
stimulation,6676,1275,11245.782124533767
amino,6944,1365,11223.592449976695
adolescents,4928,714,11158.60592652717
race,6561,1255,11155.796974976338
transplantation,4679,635,11143.438389665378
nuclear,7282,1492,11122.073006880604
gender,7211,1470,11120.752164640233
ovarian,3996,426,11111.961385109304
cardiovascular,6505,1253,11070.95387953599
bacterial,5240,833,11057.326544645583
intake,4530,599,11052.968360935347
inhibitor,7787,1666,11034.40981397878
leukemia,4556,610,11033.499863599121
migration,5382,891,10994.705006792245
survey,7492,1587,10980.348195587516
epithelial,5497,934,10970.549937817563
behaviors,6216,1199,10852.932790484963
cholesterol,4049,471,10852.74674470343
melanoma,3762,385,10841.960340713667
synaptic,4089,496,10748.48662154424
antigen,5436,963,10682.59373394339
injection,6188,1224,10676.348231662181
compounds,5293,923,10626.127445950438
drugs,7337,1632,10548.030185763466
diet,4820,772,10537.608903741499
chemical,7204,1600,10499.481005362519
aging,5596,1054,10491.731862613336
calcium,4996,842,10488.754525311137
marrow,4500,673,10455.593103087134
intestinal,3932,482,10448.371286680247
histone,3936,486,10426.47124130952
items,4880,818,10386.338860059359
adolescent,4313,620,10374.882621000426
uptake,5023,873,10363.829862002409
spatial,5714,1126,10335.389804466899
temperature,7423,1710,10325.109546564505
transplant,3958,514,10263.043330510929
surgical,5682,1130,10257.35977022368
channel,4934,863,10237.042341912993
medium,6887,1562,10203.008773792337
metabolic,6271,1351,10200.47209828911
vector,5926,1233,10180.8973959215
tobacco,3601,408,10169.019784625007
reward,3078,257,10114.721617850586
language,4765,824,10106.755284340761
abuse,4467,716,10102.255835374293
dopamine,3366,342,10099.345479740601
developmental,6311,1390,10085.933722310861
aortic,3188,291,10080.096382418405
income,4572,759,10073.070113619404
services,6425,1434,10067.894318091578
adherence,4126,602,10046.616153733845
bacteria,4123,601,10046.165826598388
sirna,3307,331,10030.435535965202
parent,4628,790,10011.185554243595
spectra,4229,646,9999.093949338818
african,5227,1018,9981.558998275788
skin,5224,1021,9960.457900089
head,5766,1223,9952.971259114915
inhibitors,6236,1394,9948.152811934828
lesions,5241,1034,9926.560961450152
collagen,3592,435,9913.433041810864
problems,6673,1559,9898.798897807937
dynamics,6222,1408,9863.642815458656
aids,4032,600,9831.148219662113
panel,7083,1718,9819.122959812184
vitamin,3243,334,9807.057293439208
ligand,5328,1092,9800.559269610036
coronary,3978,592,9752.87783088718
pulmonary,4503,790,9740.788364468217
randomized,6809,1644,9739.0685447186
expressing,6010,1360,9736.0226144533
peak,5789,1282,9719.926819776141
acids,6701,1618,9691.417516871928
damage,6199,1445,9666.385005465747
nicotine,2735,202,9646.188465728994
interventions,6469,1547,9646.169219085843
medication,4510,817,9604.366873306439
regulatory,6448,1556,9577.451421553265
incubated,5903,1364,9545.349489913817
metabolism,6096,1437,9539.615632958563
sequences,5767,1321,9510.164539770563
childhood,4561,857,9494.964578047448
coli,3695,534,9440.040038280898
strain,4714,931,9423.055892628432
autophagy,2821,244,9416.617154444279
chromatin,3563,489,9416.467332036189
mirna,2603,185,9409.46662423875
diabetic,3396,436,9364.701676189934
force,4918,1028,9343.413206797688
mothers,3218,377,9341.742258863345
pediatric,4506,868,9322.998483010857
bound,5899,1415,9322.341030508258
associations,6410,1608,9310.294329260401
chain,6001,1461,9291.552645532265
cluster,4773,981,9291.30319356323
oral,5198,1154,9274.38084426625
substrate,5250,1175,9272.481944700618
cerebral,4170,744,9270.616518225268
depressive,3420,457,9270.002588873012
people,6215,1548,9263.404110132113
emotional,4028,690,9258.433992541184
temporal,5487,1276,9238.599073679587
immunity,4338,817,9238.080597872136
drosophila,3006,320,9219.06974041818
respiratory,4278,800,9200.26139259159
placebo,3524,516,9124.001432395231
neuron,4034,717,9117.383069442076
pancreatic,3396,474,9080.914670126775
autism,2630,219,9063.344870019164
users,3745,611,9063.325074324397
magnetic,4961,1108,9053.321936526394
domains,5589,1368,9021.234887676637
iron,3037,354,9007.479452960573
environmental,5714,1421,9005.803033429786
microbiota,2361,152,8998.54999499286
terminal,5494,1336,8997.936451963848
week,6272,1638,8993.917537702753
microglia,2417,168,8970.082752458431
psychological,4510,942,8962.295402785654
bias,5774,1461,8940.080815747924
physiol,4976,1142,8930.298189477922
incidence,6152,1611,8924.091695156745
algorithm,5008,1158,8918.050114100004
cytokine,4179,816,8904.596938257235
pmid,1937,70,8884.467384267737
home,4693,1035,8884.10128612797
hippocampal,3173,418,8883.54021580511
nerve,3500,543,8883.354003055545
estimates,6234,1653,8882.598222665682
dietary,3608,588,8870.208524881795
families,4692,1038,8868.627904510304
distance,5258,1273,8865.40267273095
donor,3673,618,8847.235928796108
assays,5847,1514,8844.757073461178
beta,5967,1561,8843.86101696805
oncol,4581,1000,8829.672201028032
media,5332,1312,8829.272098861424
nucleus,4211,847,8815.769637309686
genet,5193,1262,8800.875284983309
phenotype,5998,1585,8798.290922561557
phys,4066,796,8764.715455614933
dementia,2907,340,8739.21190747864
transfer,5490,1399,8738.41921460237
stimulus,3486,561,8734.136599680904
complexes,4542,1005,8731.848035282297
transcriptional,4650,1054,8718.111715716943
induction,5882,1561,8717.880090800414
strains,3757,679,8695.91213574797
epilepsy,2518,218,8688.901379403256
decision,5270,1324,8678.624022170818
yeast,3204,458,8677.5254596779
particles,3464,563,8666.688414256525
promoter,4274,906,8659.855527672633
diagnostic,5743,1522,8657.170060667448
laser,3450,559,8656.260417256022
metastatic,3624,631,8653.76627446931
month,5448,1404,8652.13158121877
cost,5506,1433,8631.673807312573
genomic,5088,1264,8614.868747014683
mmol,2736,299,8576.722211788036
safety,5238,1337,8574.746831812532
mitochondria,2935,371,8567.289657101286
meta,5602,1490,8563.660120587134
oncology,4392,981,8549.634114001616
dysfunction,5220,1337,8545.280347854414
signals,5891,1615,8530.876263191207
onset,5639,1525,8489.293308096725
smokers,2760,318,8481.919063239604
oxidative,3857,765,8467.40566728345
layer,4284,958,8441.033745509802
spinal,3076,443,8433.286773571906
simulation,3482,610,8432.538745621629
networks,4579,1099,8393.556597903693
item,3713,719,8381.537230366524
caspase,2825,354,8378.705780248145
regulated,5728,1595,8366.210536693798
consumption,3909,811,8353.307878925783
western,4902,1251,8350.615594572579
tuberculosis,2380,207,8335.93017554896
severity,5178,1378,8320.124378604543
dust,1896,86,8306.116565410466
brca,2109,134,8303.914729771097
fibrosis,3070,461,8294.56413144905
accuracy,5322,1447,8291.477686487537
replication,3921,832,8278.713227566945
infections,4058,894,8276.310025894762
enzyme,5257,1427,8263.3776084064
children’s,3597,693,8252.167130713653
noise,3711,745,8245.197196250898
hispanic,3763,769,8241.419656518237
trauma,3153,504,8237.635618703855
affinity,4223,982,8216.349692872547
adhesion,3476,649,8202.587448432963
probability,4804,1251,8183.671423159254
simulations,3103,492,8181.778611474044
fatty,3193,531,8175.511876653933
psychiatric,3708,762,8154.870570780366
cancers,4225,1000,8143.498155281257
programs,4865,1289,8142.007861426658
resonance,4280,1029,8127.153875112578
cannabis,1850,85,8126.234533271483
electron,4016,911,8115.000946678998
vegf,2599,303,8112.720433544123
adhd,1989,117,8101.26965591514
deletion,4172,988,8091.709839402483
channels,3394,637,8072.428102664004
dental,2394,236,8071.080508780524
peripheral,5074,1401,8069.0244865176255
mutants,3336,614,8057.159026484542
transmission,4027,933,8041.134793363042
longitudinal,5086,1414,8041.131891117718
labeled,5131,1434,8040.212567490721
neck,3079,505,8038.197613882904
notch,2342,223,8028.466617141703
stat,3606,750,7987.7849492242485
cytokines,3655,774,7981.199046721801
markers,5683,1689,7975.059301784303
allele,3377,650,7963.770066315177
variant,3787,845,7937.074218094295
racial,3153,557,7922.370390442154
word,2679,360,7900.656131901133
compound,3830,874,7897.9582370727685
stigma,2229,200,7883.7347134716865
daily,5150,1488,7879.614578595929
surg,3737,836,7872.2963756151785
alzheimer’s,2644,350,7871.92120547359
biomarkers,3900,915,7863.516953715423
mechanical,3612,781,7854.782753533753
recurrence,3139,563,7853.560892711094
sections,4771,1327,7846.0737623424175
latent,2828,429,7844.175024513618
ethnic,3406,687,7843.596239930574
actin,3396,683,7840.398191500852
toxicity,4059,996,7839.809153476662
intracellular,4658,1278,7835.495824208555
crystal,3455,712,7832.9429680310595
vehicle,3105,552,7829.761805986623
pten,2138,179,7799.049118426293
macrophage,3070,542,7797.629499029046
